Country,Sector,Gas,year,cons
Austria,Total excluding LUCF,N2O,2018,3.83
Austria,Total excluding LUCF,F-Gas,2018,1.51
Austria,Total including LUCF,All GHG,2018,68.32
Austria,Total including LUCF,CO2,2018,55.94
Austria,Total including LUCF,CH4,2018,7.04
Austria,Total including LUCF,N2O,2018,3.83
Austria,Total including LUCF,F-Gas,2018,1.51
Austria,Transportation,All GHG,2018,25.38
Austria,Transportation,CO2,2018,24.76
Austria,Transportation,CH4,2018,0.09
Austria,Transportation,N2O,2018,0.53
Austria,Waste,All GHG,2018,1.46
Austria,Waste,CH4,2018,1.19
Austria,Waste,N2O,2018,0.27
Austria,Agriculture,All GHG,2017,7.43
Austria,Agriculture,CH4,2017,4.83
Austria,Agriculture,N2O,2017,2.6
Austria,Building,All GHG,2017,8.91
Austria,Building,CO2,2017,8.2
Austria,Building,CH4,2017,0.61
Austria,Building,N2O,2017,0.1
Austria,Bunker Fuels,All GHG,2017,2.28
Austria,Bunker Fuels,CO2,2017,2.26
Austria,Bunker Fuels,CH4,2017,0.0
Austria,Bunker Fuels,N2O,2017,0.02
Austria,Electricity/Heat,All GHG,2017,20.2
Austria,Electricity/Heat,CO2,2017,19.99
Austria,Electricity/Heat,CH4,2017,0.08
Austria,Electricity/Heat,N2O,2017,0.13
Austria,Energy,All GHG,2017,66.15
Austria,Energy,CO2,2017,64.15
Austria,Energy,CH4,2017,1.15
Austria,Energy,N2O,2017,0.85
Austria,Fugitive Emissions,All GHG,2017,0.26
Austria,Fugitive Emissions,CH4,2017,0.26
Austria,Fugitive Emissions,N2O,2017,0.0
Austria,Industrial Processes,All GHG,2017,3.57
Austria,Industrial Processes,CO2,2017,1.71
Austria,Industrial Processes,CH4,2017,0.05
Austria,Industrial Processes,N2O,2017,0.17
Austria,Industrial Processes,F-Gas,2017,1.64
Austria,Land-Use Change and Forestry,All GHG,2017,-7.12
Austria,Land-Use Change and Forestry,CO2,2017,-7.12
Austria,Land-Use Change and Forestry,CH4,2017,0.0
Austria,Land-Use Change and Forestry,N2O,2017,0.0
Austria,Manufacturing/Construction,All GHG,2017,10.81
Austria,Manufacturing/Construction,CO2,2017,10.67
Austria,Manufacturing/Construction,CH4,2017,0.05
Austria,Manufacturing/Construction,N2O,2017,0.09
Austria,Other Fuel Combustion,All GHG,2017,0.82
Austria,Other Fuel Combustion,CO2,2017,0.75
Austria,Other Fuel Combustion,CH4,2017,0.06
Austria,Other Fuel Combustion,N2O,2017,0.01
Austria,Total excluding LUCF,All GHG,2017,78.65
Austria,Total excluding LUCF,CO2,2017,65.86
Austria,Total excluding LUCF,CH4,2017,7.27
Austria,Total excluding LUCF,N2O,2017,3.89
Austria,Total excluding LUCF,F-Gas,2017,1.64
Austria,Total including LUCF,All GHG,2017,71.53
Austria,Total including LUCF,CO2,2017,58.73
Austria,Total including LUCF,CH4,2017,7.27
Austria,Total including LUCF,N2O,2017,3.89
Austria,Total including LUCF,F-Gas,2017,1.64
Austria,Transportation,All GHG,2017,25.15
Austria,Transportation,CO2,2017,24.54
Austria,Transportation,CH4,2017,0.09
Austria,Transportation,N2O,2017,0.53
Austria,Waste,All GHG,2017,1.51
Austria,Waste,CH4,2017,1.25
Austria,Waste,N2O,2017,0.27
Austria,Agriculture,All GHG,2016,7.49
Austria,Agriculture,CH4,2016,4.83
Austria,Agriculture,N2O,2016,2.66
Austria,Building,All GHG,2016,8.75
Austria,Building,CO2,2016,8.05
Austria,Building,CH4,2016,0.6
Austria,Building,N2O,2016,0.1
Austria,Bunker Fuels,All GHG,2016,2.35
Austria,Bunker Fuels,CO2,2016,2.33
Austria,Bunker Fuels,CH4,2016,0.0
Austria,Bunker Fuels,N2O,2016,0.02
Austria,Electricity/Heat,All GHG,2016,18.65
Austria,Electricity/Heat,CO2,2016,18.45
Austria,Electricity/Heat,CH4,2016,0.08
Austria,Electricity/Heat,N2O,2016,0.13
Austria,Energy,All GHG,2016,63.95
Austria,Energy,CO2,2016,61.96
Austria,Energy,CH4,2016,1.14
Austria,Energy,N2O,2016,0.86
Austria,Fugitive Emissions,All GHG,2016,0.26
Austria,Fugitive Emissions,CH4,2016,0.26
Austria,Fugitive Emissions,N2O,2016,0.0
Austria,Industrial Processes,All GHG,2016,3.72
Austria,Industrial Processes,CO2,2016,1.73
Austria,Industrial Processes,CH4,2016,0.05
Austria,Industrial Processes,N2O,2016,0.17
Austria,Industrial Processes,F-Gas,2016,1.77
Austria,Land-Use Change and Forestry,All GHG,2016,-7.12
Austria,Land-Use Change and Forestry,CO2,2016,-7.12
Austria,Land-Use Change and Forestry,CH4,2016,0.0
Austria,Land-Use Change and Forestry,N2O,2016,0.0
Austria,Manufacturing/Construction,All GHG,2016,10.85
Austria,Manufacturing/Construction,CO2,2016,10.71
Austria,Manufacturing/Construction,CH4,2016,0.05
Austria,Manufacturing/Construction,N2O,2016,0.09
Austria,Other Fuel Combustion,All GHG,2016,0.83
Austria,Other Fuel Combustion,CO2,2016,0.76
Austria,Other Fuel Combustion,CH4,2016,0.06
Austria,Other Fuel Combustion,N2O,2016,0.01
Austria,Total excluding LUCF,All GHG,2016,76.73
Austria,Total excluding LUCF,CO2,2016,63.68
Austria,Total excluding LUCF,CH4,2016,7.31
Austria,Total excluding LUCF,N2O,2016,3.96
Austria,Total excluding LUCF,F-Gas,2016,1.77
Austria,Total including LUCF,All GHG,2016,69.6
Austria,Total including LUCF,CO2,2016,56.56
Austria,Total including LUCF,CH4,2016,7.31
Austria,Total including LUCF,N2O,2016,3.96
Austria,Total including LUCF,F-Gas,2016,1.77
Austria,Transportation,All GHG,2016,24.6
Austria,Transportation,CO2,2016,23.98
Austria,Transportation,CH4,2016,0.09
Austria,Transportation,N2O,2016,0.53
Austria,Waste,All GHG,2016,1.57
Austria,Waste,CH4,2016,1.3
Austria,Waste,N2O,2016,0.27
Austria,Agriculture,All GHG,2015,7.47
Austria,Agriculture,CH4,2015,4.84
Austria,Agriculture,N2O,2015,2.64
Austria,Building,All GHG,2015,8.52
Austria,Building,CO2,2015,7.83
Austria,Building,CH4,2015,0.59
Austria,Building,N2O,2015,0.1
Austria,Bunker Fuels,All GHG,2015,2.16
Austria,Bunker Fuels,CO2,2015,2.14
Austria,Bunker Fuels,CH4,2015,0.0
Austria,Bunker Fuels,N2O,2015,0.02
Austria,Electricity/Heat,All GHG,2015,19.6
Austria,Electricity/Heat,CO2,2015,19.39
Austria,Electricity/Heat,CH4,2015,0.08
Austria,Electricity/Heat,N2O,2015,0.13
Austria,Energy,All GHG,2015,63.53
Austria,Energy,CO2,2015,61.54
Austria,Energy,CH4,2015,1.13
Austria,Energy,N2O,2015,0.86
Austria,Fugitive Emissions,All GHG,2015,0.26
Austria,Fugitive Emissions,CH4,2015,0.26
Austria,Fugitive Emissions,N2O,2015,0.0
Austria,Industrial Processes,All GHG,2015,3.69
Austria,Industrial Processes,CO2,2015,1.7
Austria,Industrial Processes,CH4,2015,0.05
Austria,Industrial Processes,N2O,2015,0.18
Austria,Industrial Processes,F-Gas,2015,1.76
Austria,Land-Use Change and Forestry,All GHG,2015,-7.07
Austria,Land-Use Change and Forestry,CO2,2015,-7.07
Austria,Land-Use Change and Forestry,CH4,2015,0.0
Austria,Land-Use Change and Forestry,N2O,2015,0.0
Austria,Manufacturing/Construction,All GHG,2015,10.55
Austria,Manufacturing/Construction,CO2,2015,10.42
Austria,Manufacturing/Construction,CH4,2015,0.05
Austria,Manufacturing/Construction,N2O,2015,0.08
Austria,Other Fuel Combustion,All GHG,2015,0.82
Austria,Other Fuel Combustion,CO2,2015,0.75
Austria,Other Fuel Combustion,CH4,2015,0.05
Austria,Other Fuel Combustion,N2O,2015,0.01
Austria,Total excluding LUCF,All GHG,2015,76.34
Austria,Total excluding LUCF,CO2,2015,63.24
Austria,Total excluding LUCF,CH4,2015,7.39
Austria,Total excluding LUCF,N2O,2015,3.95
Austria,Total excluding LUCF,F-Gas,2015,1.76
Austria,Total including LUCF,All GHG,2015,69.27
Austria,Total including LUCF,CO2,2015,56.17
Austria,Total including LUCF,CH4,2015,7.39
Austria,Total including LUCF,N2O,2015,3.95
Austria,Total including LUCF,F-Gas,2015,1.76
Austria,Transportation,All GHG,2015,23.78
Austria,Transportation,CO2,2015,23.15
Austria,Transportation,CH4,2015,0.09
Austria,Transportation,N2O,2015,0.54
Austria,Waste,All GHG,2015,1.65
Austria,Waste,CH4,2015,1.38
Austria,Waste,N2O,2015,0.27
Austria,Agriculture,All GHG,2014,7.48
Austria,Agriculture,CH4,2014,4.83
Austria,Agriculture,N2O,2014,2.65
Austria,Building,All GHG,2014,8.05
Austria,Building,CO2,2014,7.4
Austria,Building,CH4,2014,0.55
Austria,Building,N2O,2014,0.09
Austria,Bunker Fuels,All GHG,2014,2.01
Austria,Bunker Fuels,CO2,2014,1.99
Austria,Bunker Fuels,CH4,2014,0.0
Austria,Bunker Fuels,N2O,2014,0.02
Austria,Electricity/Heat,All GHG,2014,19.49
Austria,Electricity/Heat,CO2,2014,19.29
Austria,Electricity/Heat,CH4,2014,0.07
Austria,Electricity/Heat,N2O,2014,0.13
Austria,Energy,All GHG,2014,62.34
Austria,Energy,CO2,2014,60.41
Austria,Energy,CH4,2014,1.09
Austria,Energy,N2O,2014,0.84
Austria,Fugitive Emissions,All GHG,2014,0.27
Austria,Fugitive Emissions,CH4,2014,0.27
Austria,Fugitive Emissions,N2O,2014,0.0
Austria,Industrial Processes,All GHG,2014,3.6
Austria,Industrial Processes,CO2,2014,1.64
Austria,Industrial Processes,CH4,2014,0.05
Austria,Industrial Processes,N2O,2014,0.18
Austria,Industrial Processes,F-Gas,2014,1.73
Austria,Land-Use Change and Forestry,All GHG,2014,-7.07
Austria,Land-Use Change and Forestry,CO2,2014,-7.07
Austria,Land-Use Change and Forestry,CH4,2014,0.0
Austria,Land-Use Change and Forestry,N2O,2014,0.0
Austria,Manufacturing/Construction,All GHG,2014,10.45
Austria,Manufacturing/Construction,CO2,2014,10.31
Austria,Manufacturing/Construction,CH4,2014,0.05
Austria,Manufacturing/Construction,N2O,2014,0.08
Austria,Other Fuel Combustion,All GHG,2014,0.82
Austria,Other Fuel Combustion,CO2,2014,0.76
Austria,Other Fuel Combustion,CH4,2014,0.05
Austria,Other Fuel Combustion,N2O,2014,0.01
Austria,Total excluding LUCF,All GHG,2014,75.15
Austria,Total excluding LUCF,CO2,2014,62.05
Austria,Total excluding LUCF,CH4,2014,7.44
Austria,Total excluding LUCF,N2O,2014,3.93
Austria,Total excluding LUCF,F-Gas,2014,1.73
Austria,Total including LUCF,All GHG,2014,68.08
Austria,Total including LUCF,CO2,2014,54.98
Austria,Total including LUCF,CH4,2014,7.44
Austria,Total including LUCF,N2O,2014,3.93
Austria,Total including LUCF,F-Gas,2014,1.73
Austria,Transportation,All GHG,2014,23.27
Austria,Transportation,CO2,2014,22.65
Austria,Transportation,CH4,2014,0.09
Austria,Transportation,N2O,2014,0.53
Austria,Waste,All GHG,2014,1.73
Austria,Waste,CH4,2014,1.47
Austria,Waste,N2O,2014,0.26
Austria,Agriculture,All GHG,2013,7.38
Austria,Agriculture,CH4,2013,4.83
Austria,Agriculture,N2O,2013,2.55
Austria,Building,All GHG,2013,9.14
Austria,Building,CO2,2013,8.41
Austria,Building,CH4,2013,0.63
Austria,Building,N2O,2013,0.11
Austria,Bunker Fuels,All GHG,2013,2.01
Austria,Bunker Fuels,CO2,2013,2.0
Austria,Bunker Fuels,CH4,2013,0.0
Austria,Bunker Fuels,N2O,2013,0.02
Austria,Electricity/Heat,All GHG,2013,21.38
Austria,Electricity/Heat,CO2,2013,21.17
Austria,Electricity/Heat,CH4,2013,0.08
Austria,Electricity/Heat,N2O,2013,0.14
Austria,Energy,All GHG,2013,66.13
Austria,Energy,CO2,2013,64.09
Austria,Energy,CH4,2013,1.19
Austria,Energy,N2O,2013,0.85
Austria,Fugitive Emissions,All GHG,2013,0.28
Austria,Fugitive Emissions,CH4,2013,0.28
Austria,Fugitive Emissions,N2O,2013,0.0
Austria,Industrial Processes,All GHG,2013,3.53
Austria,Industrial Processes,CO2,2013,1.66
Austria,Industrial Processes,CH4,2013,0.05
Austria,Industrial Processes,N2O,2013,0.19
Austria,Industrial Processes,F-Gas,2013,1.64
Austria,Land-Use Change and Forestry,All GHG,2013,-7.07
Austria,Land-Use Change and Forestry,CO2,2013,-7.07
Austria,Land-Use Change and Forestry,CH4,2013,0.0
Austria,Land-Use Change and Forestry,N2O,2013,0.0
Austria,Manufacturing/Construction,All GHG,2013,10.79
Austria,Manufacturing/Construction,CO2,2013,10.65
Austria,Manufacturing/Construction,CH4,2013,0.05
Austria,Manufacturing/Construction,N2O,2013,0.08
Austria,Other Fuel Combustion,All GHG,2013,0.82
Austria,Other Fuel Combustion,CO2,2013,0.76
Austria,Other Fuel Combustion,CH4,2013,0.06
Austria,Other Fuel Combustion,N2O,2013,0.01
Austria,Total excluding LUCF,All GHG,2013,78.87
Austria,Total excluding LUCF,CO2,2013,65.75
Austria,Total excluding LUCF,CH4,2013,7.63
Austria,Total excluding LUCF,N2O,2013,3.85
Austria,Total excluding LUCF,F-Gas,2013,1.64
Austria,Total including LUCF,All GHG,2013,71.8
Austria,Total including LUCF,CO2,2013,58.68
Austria,Total including LUCF,CH4,2013,7.63
Austria,Total including LUCF,N2O,2013,3.85
Austria,Total including LUCF,F-Gas,2013,1.64
Austria,Transportation,All GHG,2013,23.71
Austria,Transportation,CO2,2013,23.11
Austria,Transportation,CH4,2013,0.09
Austria,Transportation,N2O,2013,0.51
Austria,Waste,All GHG,2013,1.83
Austria,Waste,CH4,2013,1.57
Austria,Waste,N2O,2013,0.26
Austria,Agriculture,All GHG,2012,7.42
Austria,Agriculture,CH4,2012,4.87
Austria,Agriculture,N2O,2012,2.55
Austria,Building,All GHG,2012,8.89
Austria,Building,CO2,2012,8.17
Austria,Building,CH4,2012,0.62
Austria,Building,N2O,2012,0.1
Austria,Bunker Fuels,All GHG,2012,2.1
Austria,Bunker Fuels,CO2,2012,2.09
Austria,Bunker Fuels,CH4,2012,0.0
Austria,Bunker Fuels,N2O,2012,0.02
Austria,Electricity/Heat,All GHG,2012,22.06
Austria,Electricity/Heat,CO2,2012,21.84
Austria,Electricity/Heat,CH4,2012,0.08
Austria,Electricity/Heat,N2O,2012,0.14
Austria,Energy,All GHG,2012,65.45
Austria,Energy,CO2,2012,63.43
Austria,Energy,CH4,2012,1.18
Austria,Energy,N2O,2012,0.83
Austria,Fugitive Emissions,All GHG,2012,0.29
Austria,Fugitive Emissions,CH4,2012,0.29
Austria,Fugitive Emissions,N2O,2012,0.0
Austria,Industrial Processes,All GHG,2012,3.53
Austria,Industrial Processes,CO2,2012,1.67
Austria,Industrial Processes,CH4,2012,0.05
Austria,Industrial Processes,N2O,2012,0.19
Austria,Industrial Processes,F-Gas,2012,1.62
Austria,Land-Use Change and Forestry,All GHG,2012,-7.07
Austria,Land-Use Change and Forestry,CO2,2012,-7.07
Austria,Land-Use Change and Forestry,CH4,2012,0.0
Austria,Land-Use Change and Forestry,N2O,2012,0.0
Austria,Manufacturing/Construction,All GHG,2012,11.17
Austria,Manufacturing/Construction,CO2,2012,11.04
Austria,Manufacturing/Construction,CH4,2012,0.05
Austria,Manufacturing/Construction,N2O,2012,0.09
Austria,Other Fuel Combustion,All GHG,2012,0.8
Austria,Other Fuel Combustion,CO2,2012,0.74
Austria,Other Fuel Combustion,CH4,2012,0.05
Austria,Other Fuel Combustion,N2O,2012,0.01
Austria,Total excluding LUCF,All GHG,2012,78.33
Austria,Total excluding LUCF,CO2,2012,65.11
Austria,Total excluding LUCF,CH4,2012,7.77
Austria,Total excluding LUCF,N2O,2012,3.83
Austria,Total excluding LUCF,F-Gas,2012,1.62
Austria,Total including LUCF,All GHG,2012,71.26
Austria,Total including LUCF,CO2,2012,58.04
Austria,Total including LUCF,CH4,2012,7.77
Austria,Total including LUCF,N2O,2012,3.83
Austria,Total including LUCF,F-Gas,2012,1.62
Austria,Transportation,All GHG,2012,22.23
Austria,Transportation,CO2,2012,21.65
Austria,Transportation,CH4,2012,0.09
Austria,Transportation,N2O,2012,0.49
Austria,Waste,All GHG,2012,1.94
Austria,Waste,CH4,2012,1.67
Austria,Waste,N2O,2012,0.26
Austria,Agriculture,All GHG,2011,7.47
Austria,Agriculture,CH4,2011,4.96
Austria,Agriculture,N2O,2011,2.51
Austria,Building,All GHG,2011,9.26
Austria,Building,CO2,2011,8.57
Austria,Building,CH4,2011,0.59
Austria,Building,N2O,2011,0.1
Austria,Bunker Fuels,All GHG,2011,2.16
Austria,Bunker Fuels,CO2,2011,2.14
Austria,Bunker Fuels,CH4,2011,0.0
Austria,Bunker Fuels,N2O,2011,0.02
Austria,Electricity/Heat,All GHG,2011,24.56
Austria,Electricity/Heat,CO2,2011,24.34
Austria,Electricity/Heat,CH4,2011,0.08
Austria,Electricity/Heat,N2O,2011,0.14
Austria,Energy,All GHG,2011,68.57
Austria,Energy,CO2,2011,66.61
Austria,Energy,CH4,2011,1.14
Austria,Energy,N2O,2011,0.83
Austria,Fugitive Emissions,All GHG,2011,0.28
Austria,Fugitive Emissions,CH4,2011,0.28
Austria,Fugitive Emissions,N2O,2011,0.0
Austria,Industrial Processes,All GHG,2011,3.46
Austria,Industrial Processes,CO2,2011,1.67
Austria,Industrial Processes,CH4,2011,0.05
Austria,Industrial Processes,N2O,2011,0.19
Austria,Industrial Processes,F-Gas,2011,1.56
Austria,Land-Use Change and Forestry,All GHG,2011,-7.07
Austria,Land-Use Change and Forestry,CO2,2011,-7.07
Austria,Land-Use Change and Forestry,CH4,2011,0.0
Austria,Land-Use Change and Forestry,N2O,2011,0.0
Austria,Manufacturing/Construction,All GHG,2011,11.36
Austria,Manufacturing/Construction,CO2,2011,11.22
Austria,Manufacturing/Construction,CH4,2011,0.05
Austria,Manufacturing/Construction,N2O,2011,0.08
Austria,Other Fuel Combustion,All GHG,2011,0.81
Austria,Other Fuel Combustion,CO2,2011,0.76
Austria,Other Fuel Combustion,CH4,2011,0.05
Austria,Other Fuel Combustion,N2O,2011,0.01
Austria,Total excluding LUCF,All GHG,2011,81.53
Austria,Total excluding LUCF,CO2,2011,68.27
Austria,Total excluding LUCF,CH4,2011,7.92
Austria,Total excluding LUCF,N2O,2011,3.78
Austria,Total excluding LUCF,F-Gas,2011,1.56
Austria,Total including LUCF,All GHG,2011,74.46
Austria,Total including LUCF,CO2,2011,61.2
Austria,Total including LUCF,CH4,2011,7.92
Austria,Total including LUCF,N2O,2011,3.78
Austria,Total including LUCF,F-Gas,2011,1.56
Austria,Transportation,All GHG,2011,22.29
Austria,Transportation,CO2,2011,21.72
Austria,Transportation,CH4,2011,0.09
Austria,Transportation,N2O,2011,0.49
Austria,Waste,All GHG,2011,2.04
Austria,Waste,CH4,2011,1.78
Austria,Waste,N2O,2011,0.26
Austria,Agriculture,All GHG,2010,7.44
Austria,Agriculture,CH4,2010,4.98
Austria,Agriculture,N2O,2010,2.46
Austria,Building,All GHG,2010,10.55
Austria,Building,CO2,2010,9.81
Austria,Building,CH4,2010,0.64
Austria,Building,N2O,2010,0.11
Austria,Bunker Fuels,All GHG,2010,2.07
Austria,Bunker Fuels,CO2,2010,2.05
Austria,Bunker Fuels,CH4,2010,0.0
Austria,Bunker Fuels,N2O,2010,0.02
Austria,Electricity/Heat,All GHG,2010,24.34
Austria,Electricity/Heat,CO2,2010,24.13
Austria,Electricity/Heat,CH4,2010,0.07
Austria,Electricity/Heat,N2O,2010,0.13
Austria,Energy,All GHG,2010,70.37
Austria,Energy,CO2,2010,68.34
Austria,Energy,CH4,2010,1.19
Austria,Energy,N2O,2010,0.85
Austria,Fugitive Emissions,All GHG,2010,0.28
Austria,Fugitive Emissions,CH4,2010,0.28
Austria,Fugitive Emissions,N2O,2010,0.0
Austria,Industrial Processes,All GHG,2010,3.54
Austria,Industrial Processes,CO2,2010,1.62
Austria,Industrial Processes,CH4,2010,0.05
Austria,Industrial Processes,N2O,2010,0.21
Austria,Industrial Processes,F-Gas,2010,1.66
Austria,Land-Use Change and Forestry,All GHG,2010,-6.16
Austria,Land-Use Change and Forestry,CO2,2010,-6.16
Austria,Land-Use Change and Forestry,CH4,2010,0.0
Austria,Land-Use Change and Forestry,N2O,2010,0.0
Austria,Manufacturing/Construction,All GHG,2010,11.24
Austria,Manufacturing/Construction,CO2,2010,11.1
Austria,Manufacturing/Construction,CH4,2010,0.05
Austria,Manufacturing/Construction,N2O,2010,0.09
Austria,Other Fuel Combustion,All GHG,2010,0.84
Austria,Other Fuel Combustion,CO2,2010,0.77
Austria,Other Fuel Combustion,CH4,2010,0.05
Austria,Other Fuel Combustion,N2O,2010,0.01
Austria,Total excluding LUCF,All GHG,2010,83.51
Austria,Total excluding LUCF,CO2,2010,69.96
Austria,Total excluding LUCF,CH4,2010,8.11
Austria,Total excluding LUCF,N2O,2010,3.78
Austria,Total excluding LUCF,F-Gas,2010,1.66
Austria,Total including LUCF,All GHG,2010,77.34
Austria,Total including LUCF,CO2,2010,63.8
Austria,Total including LUCF,CH4,2010,8.11
Austria,Total including LUCF,N2O,2010,3.78
Austria,Total including LUCF,F-Gas,2010,1.66
Austria,Transportation,All GHG,2010,23.13
Austria,Transportation,CO2,2010,22.52
Austria,Transportation,CH4,2010,0.09
Austria,Transportation,N2O,2010,0.51
Austria,Waste,All GHG,2010,2.16
Austria,Waste,CH4,2010,1.89
Austria,Waste,N2O,2010,0.26
Austria,Agriculture,All GHG,2009,7.32
Austria,Agriculture,CH4,2009,4.91
Austria,Agriculture,N2O,2009,2.41
Austria,Building,All GHG,2009,10.28
Austria,Building,CO2,2009,9.61
Austria,Building,CH4,2009,0.57
Austria,Building,N2O,2009,0.1
Austria,Bunker Fuels,All GHG,2009,1.92
Austria,Bunker Fuels,CO2,2009,1.91
Austria,Bunker Fuels,CH4,2009,0.0
Austria,Bunker Fuels,N2O,2009,0.02
Austria,Electricity/Heat,All GHG,2009,20.09
Austria,Electricity/Heat,CO2,2009,19.91
Austria,Electricity/Heat,CH4,2009,0.06
Austria,Electricity/Heat,N2O,2009,0.12
Austria,Energy,All GHG,2009,64.52
Austria,Energy,CO2,2009,62.62
Austria,Energy,CH4,2009,1.09
Austria,Energy,N2O,2009,0.81
Austria,Fugitive Emissions,All GHG,2009,0.28
Austria,Fugitive Emissions,CH4,2009,0.28
Austria,Fugitive Emissions,N2O,2009,0.0
Austria,Industrial Processes,All GHG,2009,3.59
Austria,Industrial Processes,CO2,2009,1.8
Austria,Industrial Processes,CH4,2009,0.05
Austria,Industrial Processes,N2O,2009,0.3
Austria,Industrial Processes,F-Gas,2009,1.45
Austria,Land-Use Change and Forestry,All GHG,2009,-6.16
Austria,Land-Use Change and Forestry,CO2,2009,-6.17
Austria,Land-Use Change and Forestry,CH4,2009,0.0
Austria,Land-Use Change and Forestry,N2O,2009,0.0
Austria,Manufacturing/Construction,All GHG,2009,10.73
Austria,Manufacturing/Construction,CO2,2009,10.6
Austria,Manufacturing/Construction,CH4,2009,0.05
Austria,Manufacturing/Construction,N2O,2009,0.08
